utterance,hedge,L_context1,L_context2,R_context1,function,ID
they 're the workers' cars a lot of workers they could work somewhere yeah you can get places where they can do that mm that s some kind of dockyard up there they 're sort of grouped around is it not warm now or is it just me ? cos er it is warm now is n't it ? not a cloud in the sky,kind,VBZ,DT,NN,propositional,S0179_2014
you would n't be like oh there 's other humans like oh what are they ? they 're like how would they ? would you class er er the different kind of cat a lion and tiger they 're classed as different species are n't they ? I do n't know are they like variations or something ?,kind,DT,JJ,NN,propositional,S0179_2014
no but are n't like foxes are they like ? part of the oh I do n't know or maybe they 're not I do n't know if they 're classed as the same kind of family are they ? maybe there was something else but it is and you kind of think about their like they way they 're no you never see them,kind,DT,JJ,NN,propositional,S0179_2014
where I got it from ? I want to say peacock I think that 's just cos it 's got birds on it no it 's that store in you know ? which was kind of it was a furniture come clothes come something store I do n't remember this I it was a I ca n't remember what it was called but I 've,kind,WDT,VBD,PP,pragmatic marker,S0179_2014
murder mystery things cos it 's not really like a modern murder novel so then like so I 'm like reading it now and I 'm like I want to kind of try and understand like what 's going on properly and it 's quite it I do n't know whether it there is the death there is it that you,kind,VVP,IN,NN,propositional,S0179_2014
it that you want to arrive in that way yeah it 's not there well yeah I do n't think it really is there no cos it was n't written as that kind of a book yeah it it there 's clever little things in there you know ? yeah and some of them you think well you know it is well done yeah,kind,IN,DT,DT,propositional,S0179_2014
I saw one and it says a sports water bottle yeah that interested me cos I thought it might be a bit more durable cos if they do one kind of put in your bag when I 'm out cycling as well yeah I think the one I 'm getting well I mean you can wait to see what mine looks like I,kind,VVP,CD,NN,propositional,S0179_2014
more nothing to do with them nothing at all to do with them nothing to do that is that is a thought that is ai n't it yeah and you you kind of think that that,kind,PP,PP,VVP,pragmatic marker,S0179_2014
s the point of renting out your house then to yeah to then not to pay the mortgage to then not pay your mortgage ? like that s really sort of it s that 's really stupid really stupid is n't it ? it does n't even make any logical sense it 's not like you you you even need,sort,VBZ,RB,PP,pragmatic marker,S0179_2014
anything in the shop yeah because someone wan as soon as you look at something they want to sell it to you mm they do n't have that same kind of window shopping yeah yeah culture that we have here and you 're obviously tourists so yeah yeah yeah yeah and so to them anyone with,kind,DT,JJ,NN,propositional,S0179_2014
? yeah yep oh okay what 's up ? but I mean more than just the initial it it 's more than just the initial kind of greeting mm it s the kind of like you know hi ah I 'm just calling you mm or rather than listen to me mm you know or you know or hello listen to me yeah or hi listen,kind,VBZ,DT,IN,propositional,S0179_2014
you guys seen ? have you seen Top Of The Lake ? no Top Of The Lake oh yeah that 's really funny what is it ? a comedy ? it 's a m no it s sort of it s like no it 's not it 's erm it 's a thriller it was written by Jane Campion who did the Piano and like a really famous New,sort,PP,VBZ,PP,pragmatic marker,S0179_2014
yeah they seem pretty energetic and they well they have n't got that it 's funny so the Polish in a way they they they sort of just they sort of it s almost like what we think of as Mediterranean yeah they sound like they 're fighting no well they 're constantly yelling,sort,RB,PP,PP,pragmatic marker,S0179_2014
you have to just walk about with your plastic bags well this is in the nineties no-one did that oh that 's horrible so I just had to kind of leave it no and if someone was well I had nothing on me you know oh no and if someone saw you the looks she gave quite rightly so as well,kind,VHD,IN,VV,pragmatic marker,S0180_2014
because I do n't know it was a bit of mess really I can understand why he did n't learn anything hmm because it was a bit of a dysfunctional kind of environment for him the thing is with with both both of and ' s dogs they 've kind of they 've been a bit soft on them mm so er when moved over,kind,DT,JJ,NN,propositional,S0180_2014
to believe no it was I I mean I almost need to go to Luton to see with my own eyes but I mean the sad thing was that I was watching it kind of agreeing with the EDP on a lot of things cos you could see where they were coming from you could see the anger that was there yeah yeah and,kind,VVG,PP,VVG,pragmatic marker,S0197_2014
come to Britain yeah so if they 're an illegal immigrant I mean you 're gonna gravitate towards people who are dealing in those kind of circles are n't you ? mm and they 're gonna be nasty people yeah well you have to be you have to because it there 's nobody else you can,kind,IN,DT,NNS,propositional,S0199_2014
of ordeal mm and some food and then we asked the guy if he could call us a taxi to get back to where we were staying cos like he just sort of it s like taxi you 're not gonna get a taxi out here oh really ? really ? and we were like well our bike 's broken and he wa then he,sort,PP,RB,PP,pragmatic marker,S0199_2014
I do n't know it might be it might be better well that 's why I was thinking maybe Dereham's better er it might have more of a sporty kind of bar with a big screen TV you 've gotta get there although Dereham's not really like that either is it no yeah it 'll take an hour to,kind,DT,JJ,NN,propositional,S0199_2014
"to er , effect the outcome of this mad ref , referendum , you know they the farmers are sort of desperate and they think they need government help and they think they would n't get it",sort,NN2,VBR,JJ,pragmatic marker,S0199_1994
was opening and banging and shutting . Say I 'm surprised Ann and Rita have n't sort of did n't Well banging on the wall probably with all the other banging and May,sort,VH0,XX,VDD,pragmatic marker,S0199_1994
"was always poodling about in you see . And it was her second car that she 'd ever had sort of thing . Mm . She 'd had it five or six years or something like that . You know , think",sort,RR,VHN,NN1,pragmatic marker,S0199_1994
of thing you had to go through all the finances and what people earned and all that sort of thing . What they 've got insurance already erm so on and so forth . And arrange,sort,DB,DD1,NN1,propositional,S0199_1994
